ID1,ID2,Distance
MN822013_1,Z66517_1,0.00100758
MN822013_1,AB052820_1,0.000903787
MN822013_1,MN145872_1,0.00404113
MN822013_1,FJ416067_1,0.00378772
MN822013_1,EU435017_1,0.0042944
MN822013_1,LF947387_1,0.00365969
MN822013_1,AB046218_1,0.00365969
MN822013_1,AB591381_1,0.00302717
MN822013_1,AF266286_1,0.00328006
MN822013_1,DI021106_1,0.00328006
MN822013_1,BD137597_1,0.00328006
MN822013_1,AF266290_1,0.0029016
MN822013_1,DI059890_1,0.0029016
MN822013_1,BD137596_1,0.0029016
MN822013_1,AY486084_1,0.00290175
MN822013_1,AY486083_1,0.00290175
MN822013_1,JF727650_1,0.00264917
MN822013_1,JF727649_1,0.00264917
MN822013_1,AY730614_1,0.00245921
MN822013_1,FJ416068_1,0.00321702
MN822013_1,EF033071_1,0.00321702
MN822013_1,AB569621_1,0.0022937
MN822013_1,AF128248_1,0.00214031
MN822013_1,AF128252_1,0.00137512
MN822013_1,AF128253_1,0.00198732
MN822013_1,AF128251_1,0.00168117
MN822013_1,AF128249_1,0.00122227
MN822013_1,AF128247_1,0.00122228
MN822013_1,AF128250_1,0.00290634
MN822013_1,AF527380_1,0.00260058
MN822013_1,AF462047_1,0.00260058
MN822013_1,DQ345723_1,0.00473762
MN822013_1,DQ345722_1,0.00473762
MN822013_1,DQ345721_1,0.00473762
MN822013_1,HW669893_1,0.00239556
MN822013_1,AF266291_1,0.00239556
MN822013_1,AF266287_1,0.00239556
MN822013_1,FJ211590_1,0.00239556
MN822013_1,FJ211589_1,0.00239556
MN822013_1,FJ211583_1,0.00239556
MN822013_1,DI062293_1,0.00252204
MN822013_1,BD137595_1,0.00252204
MN822013_1,AF266289_1,0.0021432
MN822013_1,DI010567_1,0.0021432
MN822013_1,BD137594_1,0.0021432
MN822013_1,AF266288_2,0.00277462
MN822013_1,DI045579_1,0.00271151
MN822013_1,BD137590_1,0.00271151
MN822013_1,S58435_1,0.00384917
MN822013_1,E04903_1,0.00384917
MN822013_1,M20865_1,0.0013569
MN822013_1,K01711_1,0.00283742
MN822013_1,HM562901_1,0.0114066
MN822013_1,MG912589_1,0.0240376
MN822013_1,AF128245_1,0.0198904
MN822013_1,DI052604_1,0.0193968
MN822013_1,BD137591_1,0.0193968
MN822013_1,D37774_1,0.0166247
MN822013_1,HM562900_1,0.0195719
MN822013_1,D63926_1,0.0152513
MN822013_1,D63924_1,0.0157397
MN822013_1,D37772_1,0.0169245
MN822013_1,HM562899_1,0.0176626
MN822013_1,AF128244_2,0.0197207
MN822013_1,LC420351_1,0.0273815
MN822013_1,NC_001498_1,0.0267864
MN822013_1,AB016162_1,0.0267864
MN822013_1,AB032167_1,0.0269172
MN822013_1,LZ951275_1,0.0286344
MN822013_1,HZ785298_1,0.0286344
MN822013_1,HW339903_1,0.0286344
MN822013_1,LC336599_1,0.0284373
MN822013_1,AB481088_1,0.0295595
MN822013_1,AB481087_1,0.029166
MN822013_1,EU293552_1,0.0285671
MN822013_1,EU293550_1,0.0285009
MN822013_1,EU293548_1,0.0285009
MN822013_1,EU293551_1,0.0287022
MN822013_1,EU293549_1,0.028634
MN822013_1,AF128246_1,0.0262357
MN822013_1,DI006056_1,0.0296387
MN822013_1,BD137593_1,0.0296387
MN822013_1,GQ376027_1,0.0346415
MN822013_1,GQ376026_1,0.0346406
MN822013_1,AB254456_1,0.0363876
MN822013_1,JN635409_1,0.0366327
MN822013_1,AB012949_1,0.0300958
MN822013_1,AB012948_1,0.0295672
MN822013_1,JN635406_1,0.0350381
MN822013_1,JN635405_1,0.0350976
MN822013_1,JF791787_1,0.0285478
MN822013_1,DI083540_1,0.0231742
MN822013_1,BD137592_1,0.0231742
MN822013_1,JN635410_1,0.0333573
MN822013_1,MN131123_2,0.032973
MN822013_1,MH356254_2,0.0333022
MN822013_1,MH356236_1,0.0334319
MN822013_1,MH356244_1,0.0343023
MN822013_1,KT732231_1,0.0322257
MN822013_1,KY969480_1,0.0330084
MN822013_1,MK513627_1,0.034757
MN822013_1,MK513626_1,0.034958
MN822013_1,MK513625_1,0.0342231
MN822013_1,MK513624_1,0.0342908
MN822013_1,MK513623_1,0.0345525
MN822013_1,MH173047_1,0.034492
MN822013_1,MH631016_1,0.0345722
MN822013_1,MH631015_1,0.0343791
MN822013_1,MF496200_1,0.0343123
MN822013_1,MF496201_1,0.0345125
MN822013_1,MH638233_1,0.0343536
MN822013_1,MK161348_1,0.0353839
MN822013_1,MF496202_1,0.0339814
MN822013_1,JN635404_1,0.0324324
MN822013_1,MH356241_2,0.0339098
MN822013_1,MH356239_1,0.0341799
MN822013_1,MN131115_1,0.0339674
MN822013_1,MH356242_1,0.0348215
MN822013_1,MH356253_2,0.0340215
MN822013_1,MH356240_1,0.0349522
MN822013_1,MN131117_1,0.0344362
MN822013_1,MN131119_1,0.0344371
MN822013_1,MH356243_2,0.034639
MN822013_1,MN131118_2,0.0352501
MN822013_1,MN131122_1,0.0348506
MN822013_1,MN131120_1,0.0351835
MN822013_1,MH356245_1,0.0349813
MN822013_1,MN131116_2,0.0356616
MN822013_1,MN131124_1,0.0357295
MN822013_1,MN131121_1,0.035526
MN822013_1,MH356237_1,0.0361902
MN822013_1,MK142916_1,0.0367001
MN822013_1,MK142914_1,0.0367002
MN822013_1,MK142915_1,0.0369053
MN822013_1,KU728742_1,0.0357899
MN822013_1,KJ410048_1,0.0351823
MN822013_1,KU728743_1,0.0364133
