name,date
MN822013_1,2013-01-16
MN145872_1,2017-03-30
MN630023_1,2013-12-10
MN630022_1,2012-11-15
MN630021_1,2007-05-11
MN630020_1,2010-10-04
MK513627_1,2010-05
MK513626_1,2010-05
MK513625_1,2010-04
MK513624_1,2010-04
MK513623_1,2010-03
MK513622_1,2010-06
MK513621_1,2010-05
MK513620_1,2010-05
MK513619_1,2010-05
MK513618_1,2010-05
MK513617_1,2010-05
MK513616_1,2010-04
MK513615_1,2010-04
MK513614_1,2010-04
MK513613_1,2010-04
MK513612_1,2010-04
MK513611_1,2010-04
MK513610_1,2010-04
MK513609_1,2010-04
MK513608_1,2010-04
MK513607_1,2010-04
MK513606_1,2010-04
MK513605_1,2010-04
MK513604_1,2010-04
MK513603_1,2010-04
MK513602_1,2010-04
MK513601_1,2010-03
MK513600_1,2010-03
MK513599_1,2010-03
MK513598_1,2010-03
MH631016_1,2016-10-31
MH631015_1,2017-02-03
MK161348_1,2018-08-04
MF496202_1,2018-09
MF496201_1,2018-10
MF496200_1,2018-09
MK142916_1,2014-07-14
MK142915_1,2014-06-07
MK142914_1,2014-05-03
MF775733_1,2014-05-10
MH638233_1,2015
MH173047_1,2014-11
MG972194_1,2014-04
MG912594_1,1997
MG912593_1,2011
MG912592_1,2013
MG912591_1,2013
MG912590_1,1997
MG912589_1,1991
MF449469_1,2011-05-03
KY969481_1,2014
KY969480_1,2010
KY969479_1,2013
KY969478_1,2014
KY969477_1,2014
KY969476_1,2010
KY656518_1,2012
KT588921_1,2013-07-14
KX838946_2,2013-01
KU728743_1,2014-08-29
KU728742_1,2014-06-25
KJ755982_1,2011-03-10
KJ755981_1,2010-04-21
KJ755980_1,2009-03-18
KJ755979_1,2008-03-20
KJ755978_1,2007-04-06
KJ755977_1,2006-03-23
KJ755976_1,2005-03-11
KT732261_1,2005-07
KT732260_1,2005-05
KT732259_1,2005-05
KT732258_1,2005-05
KT732257_1,2005-04
KT732256_1,2005-04
KT732255_1,2005-04
KT732254_1,2005-04
KT732253_1,2005-04
KT732252_1,2005-04
KT732251_1,2005-04
KT732250_1,2005-04
KT732249_1,2005-04
KT732248_1,2005-03
KT732247_1,2005-03
KT732246_1,2005-02
KT732245_1,2005-02
KT732244_1,2005-02
KT732243_1,2005-02
KT732242_1,2005-12
KT732241_1,2005-11
KT732240_1,2005-11
KT732239_1,2005-11
KT732238_1,2005-11
KT732237_1,2005-11
KT732236_1,2005-10
KT732235_1,2005-10
KT732234_1,2005-08
KT732233_1,2005-08
KT732232_1,2005-07
KT732231_1,2005-05
KT732230_1,2005-02
KT732229_1,2005-05
KT732228_1,2005-03
KT732227_1,2005-12
KT732226_1,2005-05
KT732225_1,2005-05
KT732224_1,2005-02
KT732223_1,2005-01
KT732222_1,2005-01
KT732221_1,2005-01
KT732220_1,2005-01
KT732219_1,2005-01
KT732218_1,2005-01
KT732217_1,2005-10
KT732216_1,2005-08
KT732215_1,2005-07
KT732214_1,2005-02
KJ018971_2,2010-03-31
KJ018970_2,2010-03-31
KJ410048_1,2013-05-10
KC164758_1,2013-02
KC164757_1,2013-01
KC117298_1,2010-03-26
JN635411_1,2009
JN635410_1,2003
JN635409_1,2004
JN635408_1,2005
JN635407_1,2007
JN635406_1,2008
JN635405_1,2008
JN635404_1,2009
JN635403_1,2009
JN635402_1,2009
FJ161211_1,2006-05-08
HM562901_1,2003
HM562900_1,2007
HM562899_1,1977
JF727650_1,2010
JF727649_1,2010
HM439386_1,1997
GQ376027_1,1999
GQ376026_1,1999
AB481088_1,1989
AB481087_1,1989
