SequenceName	ClusterNumber
BD137599_1	1
DI034478_1	1
X16569_1	-1
MG912591_1	-1
KC164758_1	-1
KJ755974_1	-1
FJ161211_1	-1
BD137602_1	2
DI004932_1	2
BD137600_1	3
DI076729_1	3
BD137598_1	4
DI041162_1	4
MF775733_1	-1
DQ211902_1	-1
MG912594_1	-1
BD137603_1	5
DI047195_1	5
BD137601_1	6
DI029710_1	6
MN630021_1	-1
MG972194_1	-1
KJ755980_1	-1
KJ755975_1	-1
DQ227320_1	-1
MH356238_2	-1
MH356248_1	-1
KJ755976_1	-1
KJ755978_1	-1
KJ755977_1	-1
EF565859_1	-1
DQ227318_1	-1
MH356249_1	-1
KY969479_1	-1
MN630020_1	-1
JN635410_1	-1
KC117298_1	-1
DQ227319_1	-1
DQ227321_1	-1
MH356251_1	-1
KC164757_1	-1
KX838946_2	-1
JN635403_1	-1
KJ018970_2	-1
KT588921_1	-1
MN630022_1	-1
KY969476_1	-1
JN635407_1	-1
KT732214_1	-1
JN635408_1	-1
MG912590_1	-1
HM439386_1	-1
MH356255_1	-1
MH356252_1	-1
MH356247_1	-1
MH356246_1	-1
JN635402_1	-1
KJ755979_1	-1
JN635411_1	-1
KJ755982_1	-1
KJ755981_1	-1
X16566_1	-1
JF791787_1	-1
MH356239_1	-1
MN131119_1	-1
MH356243_2	-1
KT732215_1	-1
MK513608_1	7
MK513609_1	7
MG912593_1	-1
AF128244_2	-1
BD137592_1	8
DI083540_1	8
MN131117_1	-1
MH356245_1	-1
MK513610_1	-1
X16567_1	-1
MN131118_2	-1
KT732224_1	-1
KT732227_1	-1
KT732226_1	-1
HM562899_1	-1
JN635406_1	-1
JN635405_1	-1
MN131115_1	-1
MH356242_1	-1
MN131120_1	-1
MN131122_1	-1
MH356237_1	-1
KJ018971_2	-1
KT732261_1	-1
KT732221_1	-1
KT732219_1	-1
KT732218_1	-1
KT732216_1	9
KT732217_1	9
MN630023_1	-1
MK513614_1	-1
MK513620_1	10
MK513618_1	10
MK513621_1	10
MK513619_1	-1
KT732229_1	-1
KT732228_1	11
KY656518_1	11
KT732225_1	-1
MF449469_1	-1
JN635409_1	-1
AB012949_1	-1
AB012948_1	-1
MH356253_2	-1
MH356240_1	-1
MH356241_2	-1
MN131124_1	12
MN131116_2	12
MN131121_1	-1
MK142915_1	-1
KU728743_1	-1
MH356250_1	-1
KT732230_1	-1
MG912592_1	-1
KT732220_1	-1
MK513615_1	-1
D37772_1	-1
HM562901_1	-1
MK142916_1	-1
MK142914_1	-1
KT732232_1	-1
KY969478_1	-1
MK513622_1	-1
X16568_1	-1
AB254456_1	-1
MF496202_1	-1
JN635404_1	-1
KU728742_1	-1
KJ410048_1	-1
KT732260_1	-1
KT732259_1	-1
KT732241_1	-1
KT732222_1	-1
DQ345722_1	13
DQ345721_1	13
DQ345723_1	13
AF462047_1	13
AF527380_1	13
D63926_1	-1
D63924_1	-1
AF128245_1	14
MG912589_1	14
AF128246_1	-1
BD137593_1	15
DI006056_1	15
GQ376027_1	-1
GQ376026_1	-1
MK161348_1	-1
MH356244_1	-1
KY969481_1	-1
MK513611_1	16
MK513604_1	16
MK513598_1	16
MK513601_1	16
MK513617_1	16
MK513613_1	16
MK513605_1	16
MK513612_1	-1
MK513616_1	17
MK513607_1	17
HM562900_1	-1
EU293549_1	-1
KY969480_1	-1
KT732245_1	18
KT732248_1	18
KT732243_1	-1
KY969477_1	-1
KT732223_1	-1
MK513600_1	19
MK513606_1	19
EU435017_1	-1
K01711_1	20
M20865_1	20
BD137591_1	21
DI052604_1	21
D37774_1	-1
AB481088_1	-1
AB481087_1	-1
EU293551_1	-1
MH173047_1	-1
MF496200_1	-1
KT732231_1	-1
KT732255_1	-1
KT732237_1	22
KT732238_1	22
MK513599_1	23
MK513603_1	23
MK513602_1	-1
MN145872_1	-1
FJ416067_1	-1
LC420351_1	-1
HZ785298_1	24
HW339903_1	24
LZ951275_1	24
LC336599_1	-1
EU293552_1	-1
EU293548_1	25
EU293550_1	25
MH631016_1	-1
MN131123_2	-1
KT732236_1	26
KT732235_1	26
KT732242_1	26
KT732239_1	26
KT732240_1	-1
EF033071_1	27
FJ416068_1	27
AF128250_1	-1
AB016162_1	28
NC_001498_1	28
AB032167_1	-1
MK513627_1	-1
MK513626_1	-1
MK513623_1	-1
MK513624_1	29
MK513625_1	29
MF496201_1	-1
MH356254_2	-1
MH356236_1	-1
KT732252_1	30
KT732251_1	30
KT732250_1	30
KT732249_1	30
KT732257_1	30
KT732247_1	-1
AF128253_1	-1
BD137590_1	31
DI045579_1	31
AF266288_2	31
MH631015_1	-1
MH638233_1	-1
KT732254_1	-1
KT732233_1	-1
KT732234_1	-1
MN822013_1	-1
KT732258_1	-1
Z66517_1	-1
AB052820_1	-1
E04903_1	32
S58435_1	32
KT732246_1	33
KT732244_1	33
KT732253_1	33
KT732256_1	-1
AB046218_1	34
LF947387_1	34
DI059890_1	35
BD137596_1	35
AF266290_1	35
AY486083_1	36
AY486084_1	36
DI021106_1	37
BD137597_1	37
AF266286_1	37
AB569621_1	38
AB591381_1	38
AF128251_1	-1
DI010567_1	39
BD137594_1	39
AF266289_1	39
AF128247_1	39
AF128252_1	-1
AF266291_1	40
FJ211589_1	40
FJ211583_1	40
AF266287_1	40
FJ211590_1	40
HW669893_1	40
AF128249_1	40
BD137595_1	41
DI062293_1	41
AF128248_1	-1
JF727649_1	42
JF727650_1	42
AY730614_1	-1
